image,bbox
1642,"[np.float64(415.51), np.float64(183.18), np.float64(503.66), np.float64(209.05)]"
1376,"[np.float64(396.94), np.float64(195.8), np.float64(513.24), np.float64(280.01)]"
1376,"[np.float64(685.79), np.float64(190.85), np.float64(858.72), np.float64(304.94)]"
1376,"[np.float64(524.23), np.float64(186.07), np.float64(559.36), np.float64(215.81)]"
1376,"[np.float64(631.37), np.float64(181.8), np.float64(664.18), np.float64(209.2)]"
3653,"[np.float64(711.11), np.float64(183.75), np.float64(910.64), np.float64(301.98)]"
3653,"[np.float64(288.84), np.float64(198.79), np.float64(473.04), np.float64(309.57)]"
3653,"[np.float64(637.44), np.float64(179.52), np.float64(674.96), np.float64(205.56)]"
5400,"[np.float64(659.07), np.float64(177.69), np.float64(700.42), np.float64(210.53)]"
5400,"[np.float64(762.98), np.float64(190.42), np.float64(975.16), np.float64(321.77)]"
5400,"[np.float64(754.89), np.float64(177.25), np.float64(811.75), np.float64(213.59)]"
1008,"[np.float64(610.08), np.float64(162.36), np.float64(649.92), np.float64(195.49)]"
641,"[np.float64(569.09), np.float64(168.49), np.float64(635.71), np.float64(218.07)]"
641,"[np.float64(190.06), np.float64(211.67), np.float64(286.3), np.float64(273.1)]"
641,"[np.float64(38.07), np.float64(214.96), np.float64(176.69), np.float64(294.98)]"
641,"[np.float64(982.73), np.float64(153.48), np.float64(1241.0), np.float64(241.17)]"
641,"[np.float64(859.2), np.float64(158.51), np.float64(1089.82), np.float64(227.7)]"
641,"[np.float64(620.64), np.float64(160.72), np.float64(660.31), np.float64(192.23)]"
345,"[np.float64(569.9), np.float64(176.8), np.float64(622.56), np.float64(224.82)]"
345,"[np.float64(361.07), np.float64(181.46), np.float64(429.1), np.float64(221.25)]"
508,"[np.float64(592.02), np.float64(175.19), np.float64(626.32), np.float64(208.22)]"
2261,"[np.float64(574.99), np.float64(178.15), np.float64(629.64), np.float64(231.08)]"
5426,"[np.float64(691.14), np.float64(184.58), np.float64(775.79), np.float64(249.55)]"
5426,"[np.float64(748.15), np.float64(173.21), np.float64(888.65), np.float64(229.81)]"
6564,"[np.float64(268.02), np.float64(180.93), np.float64(402.56), np.float64(234.65)]"
6564,"[np.float64(602.63), np.float64(170.01), np.float64(693.34), np.float64(205.09)]"
6564,"[np.float64(825.3), np.float64(168.25), np.float64(926.16), np.float64(197.87)]"
6564,"[np.float64(532.67), np.float64(175.66), np.float64(603.4), np.float64(204.94)]"
6564,"[np.float64(233.26), np.float64(179.51), np.float64(323.43), np.float64(212.64)]"
1843,"[np.float64(560.49), np.float64(188.81), np.float64(617.32), np.float64(235.29)]"
1843,"[np.float64(325.95), np.float64(181.24), np.float64(476.6), np.float64(243.87)]"
1843,"[np.float64(784.69), np.float64(201.29), np.float64(1119.65), np.float64(374.0)]"
6752,"[np.float64(333.51), np.float64(179.97), np.float64(521.86), np.float64(308.85)]"
6752,"[np.float64(741.39), np.float64(166.54), np.float64(1035.98), np.float64(374.0)]"
6752,"[np.float64(436.41), np.float64(181.83), np.float64(560.24), np.float64(261.36)]"
6752,"[np.float64(671.03), np.float64(179.47), np.float64(722.63), np.float64(219.76)]"
6752,"[np.float64(569.81), np.float64(173.83), np.float64(601.17), np.float64(202.53)]"
3010,"[np.float64(299.59), np.float64(176.06), np.float64(527.06), np.float64(335.21)]"
3010,"[np.float64(903.53), np.float64(183.91), np.float64(1241.0), np.float64(374.0)]"
3010,"[np.float64(50.65), np.float64(194.81), np.float64(326.66), np.float64(333.02)]"
858,"[np.float64(49.58), np.float64(201.59), np.float64(198.11), np.float64(265.08)]"
3928,"[np.float64(490.6), np.float64(188.74), np.float64(553.02), np.float64(235.61)]"
2308,"[np.float64(19.3), np.float64(173.9), np.float64(160.83), np.float64(227.87)]"
2308,"[np.float64(0.0), np.float64(186.28), np.float64(97.3), np.float64(227.8)]"
2308,"[np.float64(298.41), np.float64(173.43), np.float64(397.62), np.float64(204.78)]"
4775,"[np.float64(578.03), np.float64(188.83), np.float64(613.08), np.float64(215.26)]"
2429,"[np.float64(853.57), np.float64(174.42), np.float64(1139.61), np.float64(272.88)]"
2380,"[np.float64(813.71), np.float64(166.58), np.float64(1078.66), np.float64(264.51)]"
2380,"[np.float64(283.89), np.float64(182.46), np.float64(458.16), np.float64(239.12)]"
7153,"[np.float64(127.81), np.float64(171.21), np.float64(452.9), np.float64(374.0)]"
7153,"[np.float64(508.19), np.float64(186.84), np.float64(591.36), np.float64(239.55)]"
7153,"[np.float64(564.76), np.float64(185.22), np.float64(627.34), np.float64(227.09)]"
7153,"[np.float64(619.51), np.float64(186.3), np.float64(670.03), np.float64(219.05)]"
297,"[np.float64(412.32), np.float64(186.04), np.float64(460.72), np.float64(217.29)]"
7328,"[np.float64(785.48), np.float64(186.13), np.float64(965.96), np.float64(301.47)]"
7328,"[np.float64(1027.95), np.float64(184.56), np.float64(1241.0), np.float64(305.73)]"
1197,"[np.float64(507.05), np.float64(177.97), np.float64(545.05), np.float64(210.62)]"
4289,"[np.float64(0.0), np.float64(204.95), np.float64(277.59), np.float64(362.44)]"
4289,"[np.float64(443.5), np.float64(188.92), np.float64(493.44), np.float64(224.15)]"
4289,"[np.float64(648.88), np.float64(176.49), np.float64(691.13), np.float64(209.35)]"
3052,"[np.float64(536.09), np.float64(169.72), np.float64(571.86), np.float64(199.93)]"
3052,"[np.float64(142.27), np.float64(172.55), np.float64(316.62), np.float64(236.34)]"
3052,"[np.float64(328.74), np.float64(169.92), np.float64(397.35), np.float64(203.44)]"
415,"[np.float64(671.59), np.float64(176.6), np.float64(761.98), np.float64(244.46)]"
415,"[np.float64(740.84), np.float64(180.92), np.float64(907.08), np.float64(293.77)]"
415,"[np.float64(439.68), np.float64(178.5), np.float64(506.26), np.float64(224.68)]"
415,"[np.float64(792.64), np.float64(191.19), np.float64(1168.05), np.float64(374.0)]"
6597,"[np.float64(82.97), np.float64(186.3), np.float64(354.26), np.float64(339.32)]"
6597,"[np.float64(420.67), np.float64(182.31), np.float64(495.67), np.float64(228.04)]"
6597,"[np.float64(771.49), np.float64(173.3), np.float64(1172.31), np.float64(374.0)]"
6526,"[np.float64(327.69), np.float64(180.47), np.float64(403.16), np.float64(217.82)]"
6526,"[np.float64(777.21), np.float64(175.29), np.float64(964.46), np.float64(317.43)]"
6526,"[np.float64(722.26), np.float64(174.12), np.float64(847.8), np.float64(259.74)]"
6526,"[np.float64(693.98), np.float64(175.66), np.float64(766.81), np.float64(232.38)]"
5944,"[np.float64(597.98), np.float64(179.19), np.float64(642.57), np.float64(222.12)]"
1786,"[np.float64(600.84), np.float64(172.76), np.float64(628.52), np.float64(200.11)]"
1786,"[np.float64(118.4), np.float64(193.66), np.float64(267.93), np.float64(257.73)]"
6681,"[np.float64(615.05), np.float64(174.33), np.float64(668.9), np.float64(226.28)]"
6681,"[np.float64(368.47), np.float64(184.74), np.float64(488.53), np.float64(261.27)]"
6695,"[np.float64(722.09), np.float64(147.77), np.float64(915.04), np.float64(299.42)]"
6695,"[np.float64(688.59), np.float64(171.7), np.float64(799.03), np.float64(251.05)]"
6695,"[np.float64(639.83), np.float64(175.55), np.float64(705.46), np.float64(221.25)]"
6695,"[np.float64(0.0), np.float64(195.1), np.float64(99.1), np.float64(260.67)]"
6695,"[np.float64(429.44), np.float64(184.29), np.float64(478.44), np.float64(223.25)]"
6695,"[np.float64(603.54), np.float64(172.72), np.float64(660.6), np.float64(213.97)]"
6695,"[np.float64(567.05), np.float64(177.09), np.float64(605.83), np.float64(202.97)]"
6019,"[np.float64(529.17), np.float64(180.26), np.float64(559.49), np.float64(205.28)]"
6019,"[np.float64(429.96), np.float64(179.92), np.float64(513.19), np.float64(243.78)]"
6724,"[np.float64(689.18), np.float64(179.55), np.float64(753.34), np.float64(228.15)]"
6724,"[np.float64(819.25), np.float64(178.89), np.float64(910.06), np.float64(231.2)]"
5928,"[np.float64(680.85), np.float64(187.28), np.float64(971.65), np.float64(298.3)]"
5928,"[np.float64(582.6), np.float64(170.48), np.float64(792.49), np.float64(263.21)]"
5928,"[np.float64(0.0), np.float64(196.59), np.float64(226.29), np.float64(275.89)]"
5928,"[np.float64(234.71), np.float64(189.04), np.float64(324.63), np.float64(221.95)]"
4849,"[np.float64(752.83), np.float64(177.77), np.float64(1046.26), np.float64(272.24)]"
4156,"[np.float64(737.55), np.float64(175.31), np.float64(858.9), np.float64(263.11)]"
4156,"[np.float64(3.39), np.float64(204.7), np.float64(341.96), np.float64(374.0)]"
4156,"[np.float64(255.29), np.float64(193.81), np.float64(435.45), np.float64(298.07)]"
4156,"[np.float64(534.9), np.float64(183.7), np.float64(575.87), np.float64(212.42)]"
7425,"[np.float64(431.59), np.float64(182.77), np.float64(506.68), np.float64(208.14)]"
5052,"[np.float64(222.5), np.float64(186.88), np.float64(486.05), np.float64(364.82)]"
5052,"[np.float64(686.29), np.float64(180.94), np.float64(794.57), np.float64(263.1)]"
3577,"[np.float64(803.55), np.float64(175.69), np.float64(1185.25), np.float64(374.0)]"
3577,"[np.float64(841.7), np.float64(164.6), np.float64(933.88), np.float64(208.92)]"
3577,"[np.float64(810.84), np.float64(163.69), np.float64(889.6), np.float64(204.4)]"
3577,"[np.float64(687.28), np.float64(173.35), np.float64(745.64), np.float64(218.25)]"
3577,"[np.float64(531.53), np.float64(172.54), np.float64(583.56), np.float64(210.25)]"
3564,"[np.float64(524.5), np.float64(186.63), np.float64(570.15), np.float64(226.77)]"
3564,"[np.float64(672.56), np.float64(180.6), np.float64(800.87), np.float64(230.43)]"
3564,"[np.float64(639.25), np.float64(178.94), np.float64(718.35), np.float64(211.79)]"
3549,"[np.float64(579.3), np.float64(176.78), np.float64(620.59), np.float64(216.07)]"
3549,"[np.float64(686.46), np.float64(167.41), np.float64(783.22), np.float64(249.56)]"
3549,"[np.float64(645.57), np.float64(173.93), np.float64(676.76), np.float64(202.72)]"
3459,"[np.float64(594.53), np.float64(181.4), np.float64(659.14), np.float64(234.04)]"
3459,"[np.float64(401.27), np.float64(176.52), np.float64(522.38), np.float64(237.38)]"
3459,"[np.float64(747.79), np.float64(187.13), np.float64(884.75), np.float64(268.09)]"
3459,"[np.float64(708.59), np.float64(172.09), np.float64(793.52), np.float64(233.04)]"
1041,"[np.float64(92.56), np.float64(197.39), np.float64(440.65), np.float64(374.0)]"
1041,"[np.float64(547.36), np.float64(161.37), np.float64(575.39), np.float64(189.75)]"
3519,"[np.float64(245.92), np.float64(186.48), np.float64(300.52), np.float64(212.14)]"
3739,"[np.float64(575.23), np.float64(169.88), np.float64(631.32), np.float64(216.38)]"
4225,"[np.float64(580.36), np.float64(184.76), np.float64(678.78), np.float64(275.78)]"
4241,"[np.float64(570.09), np.float64(180.61), np.float64(636.82), np.float64(231.81)]"
7364,"[np.float64(556.25), np.float64(176.36), np.float64(608.26), np.float64(223.78)]"
7364,"[np.float64(88.31), np.float64(175.4), np.float64(291.7), np.float64(276.43)]"
7364,"[np.float64(397.72), np.float64(175.99), np.float64(512.05), np.float64(259.55)]"
7364,"[np.float64(328.12), np.float64(182.4), np.float64(408.77), np.float64(227.84)]"
7364,"[np.float64(477.83), np.float64(180.55), np.float64(530.76), np.float64(218.69)]"
7364,"[np.float64(295.54), np.float64(179.6), np.float64(362.52), np.float64(214.65)]"
400,"[np.float64(642.24), np.float64(178.5), np.float64(680.14), np.float64(208.68)]"
400,"[np.float64(685.77), np.float64(178.12), np.float64(767.02), np.float64(235.21)]"
400,"[np.float64(928.61), np.float64(177.14), np.float64(1016.83), np.float64(209.77)]"
4880,"[np.float64(9.69), np.float64(173.14), np.float64(120.34), np.float64(216.22)]"
4880,"[np.float64(574.76), np.float64(173.57), np.float64(614.95), np.float64(213.62)]"
2082,"[np.float64(997.9), np.float64(158.72), np.float64(1162.44), np.float64(246.55)]"
2082,"[np.float64(349.98), np.float64(184.62), np.float64(408.02), np.float64(222.08)]"
2082,"[np.float64(525.16), np.float64(168.31), np.float64(620.19), np.float64(209.36)]"
2082,"[np.float64(148.39), np.float64(186.47), np.float64(192.51), np.float64(217.7)]"
2082,"[np.float64(449.64), np.float64(191.92), np.float64(583.01), np.float64(267.12)]"
1878,"[np.float64(811.88), np.float64(187.87), np.float64(1184.48), np.float64(374.0)]"
1878,"[np.float64(653.0), np.float64(184.43), np.float64(715.43), np.float64(227.06)]"
1878,"[np.float64(589.27), np.float64(186.66), np.float64(632.09), np.float64(211.81)]"
1878,"[np.float64(795.22), np.float64(179.52), np.float64(934.7), np.float64(236.98)]"
3588,"[np.float64(463.04), np.float64(181.19), np.float64(529.9), np.float64(229.43)]"
3588,"[np.float64(61.22), np.float64(180.32), np.float64(300.35), np.float64(259.6)]"
3588,"[np.float64(446.31), np.float64(176.07), np.float64(517.6), np.float64(201.44)]"
1166,"[np.float64(222.1), np.float64(191.45), np.float64(467.15), np.float64(344.94)]"
1166,"[np.float64(550.36), np.float64(157.67), np.float64(577.34), np.float64(185.05)]"
5953,"[np.float64(279.37), np.float64(202.01), np.float64(387.5), np.float64(261.29)]"
5953,"[np.float64(191.19), np.float64(203.41), np.float64(329.75), np.float64(266.14)]"
7284,"[np.float64(66.01), np.float64(198.82), np.float64(188.3), np.float64(244.04)]"
7284,"[np.float64(304.04), np.float64(186.1), np.float64(365.39), np.float64(216.44)]"
7168,"[np.float64(240.95), np.float64(187.07), np.float64(319.97), np.float64(223.77)]"
7168,"[np.float64(381.81), np.float64(182.18), np.float64(426.72), np.float64(207.93)]"
2164,"[np.float64(663.46), np.float64(179.39), np.float64(746.37), np.float64(212.09)]"
2164,"[np.float64(655.0), np.float64(180.21), np.float64(688.72), np.float64(206.84)]"
3050,"[np.float64(908.78), np.float64(146.77), np.float64(1044.02), np.float64(190.49)]"
3050,"[np.float64(519.82), np.float64(174.62), np.float64(556.78), np.float64(202.76)]"
7028,"[np.float64(426.55), np.float64(184.15), np.float64(523.39), np.float64(265.13)]"
7028,"[np.float64(670.36), np.float64(163.75), np.float64(774.4), np.float64(258.1)]"
7028,"[np.float64(507.9), np.float64(181.82), np.float64(553.79), np.float64(219.95)]"
3845,"[np.float64(563.32), np.float64(175.26), np.float64(614.06), np.float64(224.37)]"
248,"[np.float64(577.33), np.float64(178.49), np.float64(611.19), np.float64(209.37)]"
248,"[np.float64(0.0), np.float64(182.47), np.float64(245.23), np.float64(293.47)]"
248,"[np.float64(264.17), np.float64(190.75), np.float64(441.26), np.float64(295.28)]"
248,"[np.float64(430.72), np.float64(185.6), np.float64(502.46), np.float64(234.14)]"
248,"[np.float64(381.56), np.float64(180.8), np.float64(439.65), np.float64(220.0)]"
248,"[np.float64(473.84), np.float64(183.14), np.float64(521.92), np.float64(216.46)]"
7346,"[np.float64(248.47), np.float64(185.55), np.float64(447.01), np.float64(311.8)]"
7346,"[np.float64(529.39), np.float64(171.98), np.float64(591.42), np.float64(228.56)]"
7346,"[np.float64(588.47), np.float64(169.82), np.float64(620.7), np.float64(202.14)]"
6967,"[np.float64(635.58), np.float64(177.68), np.float64(676.64), np.float64(213.79)]"
6967,"[np.float64(586.71), np.float64(170.85), np.float64(629.13), np.float64(204.53)]"
6967,"[np.float64(949.94), np.float64(157.49), np.float64(1058.3), np.float64(194.47)]"
4232,"[np.float64(638.54), np.float64(172.91), np.float64(669.13), np.float64(199.78)]"
4232,"[np.float64(671.86), np.float64(185.15), np.float64(759.0), np.float64(243.69)]"
4232,"[np.float64(99.49), np.float64(181.14), np.float64(390.65), np.float64(281.21)]"
6771,"[np.float64(214.52), np.float64(190.44), np.float64(309.1), np.float64(236.97)]"
6956,"[np.float64(569.91), np.float64(181.23), np.float64(620.58), np.float64(221.52)]"
6956,"[np.float64(505.76), np.float64(179.77), np.float64(554.59), np.float64(212.16)]"
6956,"[np.float64(338.77), np.float64(180.06), np.float64(389.6), np.float64(205.86)]"
1825,"[np.float64(633.41), np.float64(179.74), np.float64(679.09), np.float64(214.28)]"
1825,"[np.float64(467.01), np.float64(186.58), np.float64(506.57), np.float64(216.92)]"
1825,"[np.float64(601.88), np.float64(175.98), np.float64(648.61), np.float64(208.97)]"
2399,"[np.float64(714.09), np.float64(168.57), np.float64(863.95), np.float64(286.66)]"
2399,"[np.float64(662.11), np.float64(181.01), np.float64(715.85), np.float64(223.77)]"
7374,"[np.float64(570.74), np.float64(173.33), np.float64(670.85), np.float64(269.75)]"
5448,"[np.float64(595.61), np.float64(171.69), np.float64(622.85), np.float64(198.58)]"
5448,"[np.float64(53.67), np.float64(181.94), np.float64(455.0), np.float64(374.0)]"
6346,"[np.float64(246.67), np.float64(186.86), np.float64(394.22), np.float64(241.36)]"
6346,"[np.float64(392.02), np.float64(174.14), np.float64(487.1), np.float64(214.5)]"
6601,"[np.float64(543.14), np.float64(184.25), np.float64(592.1), np.float64(225.72)]"
6601,"[np.float64(443.44), np.float64(182.85), np.float64(478.66), np.float64(212.42)]"
2508,"[np.float64(586.11), np.float64(178.3), np.float64(655.56), np.float64(234.75)]"
2508,"[np.float64(257.4), np.float64(164.62), np.float64(443.24), np.float64(266.47)]"
2508,"[np.float64(700.81), np.float64(179.68), np.float64(779.47), np.float64(230.06)]"
3219,"[np.float64(634.34), np.float64(179.37), np.float64(671.04), np.float64(206.83)]"
6272,"[np.float64(800.65), np.float64(180.06), np.float64(1097.16), np.float64(368.22)]"
6272,"[np.float64(112.28), np.float64(200.03), np.float64(331.6), np.float64(320.55)]"
6272,"[np.float64(454.57), np.float64(188.16), np.float64(500.39), np.float64(220.93)]"
6272,"[np.float64(646.81), np.float64(175.52), np.float64(686.17), np.float64(206.29)]"
6831,"[np.float64(130.87), np.float64(181.78), np.float64(219.89), np.float64(219.83)]"
6831,"[np.float64(203.07), np.float64(181.7), np.float64(280.46), np.float64(211.08)]"
3575,"[np.float64(237.07), np.float64(183.53), np.float64(457.92), np.float64(273.33)]"
5586,"[np.float64(306.63), np.float64(191.61), np.float64(481.1), np.float64(291.59)]"
5586,"[np.float64(522.78), np.float64(174.2), np.float64(556.64), np.float64(201.86)]"
6505,"[np.float64(23.92), np.float64(194.66), np.float64(193.49), np.float64(260.75)]"
5409,"[np.float64(425.61), np.float64(183.19), np.float64(562.5), np.float64(269.58)]"
5409,"[np.float64(528.34), np.float64(179.75), np.float64(616.88), np.float64(239.22)]"
5409,"[np.float64(605.22), np.float64(179.68), np.float64(669.54), np.float64(222.76)]"
3697,"[np.float64(679.85), np.float64(182.0), np.float64(754.58), np.float64(236.49)]"
3697,"[np.float64(809.92), np.float64(184.63), np.float64(1151.41), np.float64(372.23)]"
3697,"[np.float64(745.45), np.float64(176.4), np.float64(809.44), np.float64(212.42)]"
4089,"[np.float64(222.24), np.float64(184.59), np.float64(363.13), np.float64(258.95)]"
627,"[np.float64(11.5), np.float64(172.55), np.float64(405.84), np.float64(374.0)]"
627,"[np.float64(409.2), np.float64(183.32), np.float64(484.47), np.float64(243.32)]"
6043,"[np.float64(128.81), np.float64(199.41), np.float64(377.32), np.float64(334.64)]"
6043,"[np.float64(400.82), np.float64(178.44), np.float64(437.89), np.float64(208.75)]"
4734,"[np.float64(743.42), np.float64(171.89), np.float64(881.93), np.float64(256.58)]"
4734,"[np.float64(562.92), np.float64(181.44), np.float64(614.71), np.float64(217.6)]"
3094,"[np.float64(117.53), np.float64(180.32), np.float64(523.62), np.float64(374.0)]"
3094,"[np.float64(498.05), np.float64(175.7), np.float64(636.59), np.float64(271.38)]"
3094,"[np.float64(652.82), np.float64(167.01), np.float64(705.57), np.float64(207.57)]"
3094,"[np.float64(800.1), np.float64(174.02), np.float64(872.54), np.float64(237.75)]"
3094,"[np.float64(803.66), np.float64(181.44), np.float64(858.17), np.float64(226.3)]"
6545,"[np.float64(578.99), np.float64(179.04), np.float64(638.65), np.float64(236.73)]"
2163,"[np.float64(249.18), np.float64(189.97), np.float64(324.18), np.float64(227.23)]"
4743,"[np.float64(572.51), np.float64(172.6), np.float64(615.06), np.float64(211.38)]"
4743,"[np.float64(163.16), np.float64(184.74), np.float64(380.78), np.float64(299.42)]"
4743,"[np.float64(342.18), np.float64(183.83), np.float64(407.48), np.float64(221.56)]"
4743,"[np.float64(490.61), np.float64(171.88), np.float64(533.64), np.float64(206.92)]"
556,"[np.float64(522.6), np.float64(183.29), np.float64(565.12), np.float64(209.71)]"
556,"[np.float64(420.43), np.float64(185.83), np.float64(504.81), np.float64(214.37)]"
6829,"[np.float64(752.06), np.float64(186.52), np.float64(935.73), np.float64(272.91)]"
1612,"[np.float64(592.78), np.float64(172.83), np.float64(642.91), np.float64(220.25)]"
1612,"[np.float64(268.11), np.float64(189.7), np.float64(389.79), np.float64(254.03)]"
1612,"[np.float64(791.55), np.float64(167.81), np.float64(1025.11), np.float64(288.2)]"
1612,"[np.float64(707.24), np.float64(172.34), np.float64(857.17), np.float64(236.96)]"
1612,"[np.float64(372.89), np.float64(175.05), np.float64(430.57), np.float64(208.85)]"
1612,"[np.float64(411.23), np.float64(175.91), np.float64(455.77), np.float64(203.81)]"
678,"[np.float64(329.85), np.float64(190.87), np.float64(467.65), np.float64(291.03)]"
1375,"[np.float64(543.64), np.float64(175.85), np.float64(582.11), np.float64(202.63)]"
1938,"[np.float64(189.21), np.float64(195.07), np.float64(463.84), np.float64(279.44)]"
1938,"[np.float64(804.63), np.float64(176.71), np.float64(1241.0), np.float64(316.57)]"
1938,"[np.float64(375.45), np.float64(186.47), np.float64(518.8), np.float64(234.17)]"
3767,"[np.float64(0.0), np.float64(175.11), np.float64(95.47), np.float64(233.27)]"
3767,"[np.float64(584.36), np.float64(176.74), np.float64(622.1), np.float64(214.33)]"
79,"[np.float64(701.01), np.float64(171.82), np.float64(742.42), np.float64(201.29)]"
79,"[np.float64(357.22), np.float64(182.05), np.float64(567.87), np.float64(301.78)]"
79,"[np.float64(0.0), np.float64(183.03), np.float64(326.6), np.float64(330.77)]"
531,"[np.float64(253.94), np.float64(187.21), np.float64(409.48), np.float64(263.18)]"
531,"[np.float64(111.11), np.float64(165.36), np.float64(302.2), np.float64(263.49)]"
531,"[np.float64(502.21), np.float64(173.05), np.float64(570.88), np.float64(221.75)]"
531,"[np.float64(851.31), np.float64(173.45), np.float64(1004.61), np.float64(248.3)]"
531,"[np.float64(675.33), np.float64(164.04), np.float64(716.83), np.float64(202.85)]"
531,"[np.float64(938.56), np.float64(163.43), np.float64(1109.63), np.float64(242.89)]"
531,"[np.float64(1047.29), np.float64(174.4), np.float64(1241.0), np.float64(243.93)]"
258,"[np.float64(676.96), np.float64(183.63), np.float64(707.15), np.float64(209.05)]"
258,"[np.float64(279.38), np.float64(194.03), np.float64(415.27), np.float64(267.25)]"
258,"[np.float64(375.59), np.float64(181.46), np.float64(474.75), np.float64(249.45)]"
258,"[np.float64(705.24), np.float64(181.57), np.float64(763.02), np.float64(229.01)]"
905,"[np.float64(411.68), np.float64(193.66), np.float64(453.77), np.float64(233.86)]"
392,"[np.float64(792.08), np.float64(191.36), np.float64(1069.66), np.float64(363.02)]"
392,"[np.float64(32.99), np.float64(185.54), np.float64(350.25), np.float64(285.1)]"
392,"[np.float64(247.35), np.float64(180.16), np.float64(425.97), np.float64(247.3)]"
392,"[np.float64(679.74), np.float64(183.29), np.float64(737.71), np.float64(224.72)]"
4866,"[np.float64(593.52), np.float64(184.95), np.float64(673.83), np.float64(251.28)]"
4866,"[np.float64(235.66), np.float64(182.37), np.float64(334.23), np.float64(231.53)]"
658,"[np.float64(401.46), np.float64(180.6), np.float64(462.4), np.float64(219.44)]"
323,"[np.float64(3.78), np.float64(210.08), np.float64(329.81), np.float64(358.59)]"
323,"[np.float64(704.29), np.float64(172.82), np.float64(803.3), np.float64(254.27)]"
323,"[np.float64(960.23), np.float64(157.46), np.float64(1142.32), np.float64(258.19)]"
323,"[np.float64(905.56), np.float64(154.84), np.float64(956.84), np.float64(203.11)]"
2520,"[np.float64(553.7), np.float64(174.3), np.float64(625.75), np.float64(240.0)]"
2520,"[np.float64(258.96), np.float64(196.01), np.float64(470.75), np.float64(318.59)]"
2520,"[np.float64(407.72), np.float64(182.72), np.float64(513.1), np.float64(253.56)]"
2520,"[np.float64(469.27), np.float64(173.7), np.float64(536.36), np.float64(227.32)]"
2520,"[np.float64(510.76), np.float64(175.56), np.float64(555.51), np.float64(212.83)]"
7416,"[np.float64(553.67), np.float64(171.73), np.float64(711.51), np.float64(323.81)]"
448,"[np.float64(921.87), np.float64(144.95), np.float64(1064.04), np.float64(190.67)]"
448,"[np.float64(517.29), np.float64(174.3), np.float64(555.46), np.float64(203.27)]"
1945,"[np.float64(154.24), np.float64(189.56), np.float64(269.85), np.float64(242.96)]"
