label,truncated,occluded,alpha,left-top-x,left-top-y,right-bottom-x,right-bottom-y,height,width,length,x,y,z,rotation_y,image
Car,0.0,2,-1.16,217.42,185.65,346.74,246.9,1.42,1.61,4.05,-8.54,1.45,19.16,-1.57,1013
Car,0.0,0,-1.33,379.26,179.16,483.53,248.94,1.56,1.69,3.63,-4.34,1.42,18.07,-1.56,1013
Car,0.0,1,-1.4,463.59,181.3,516.31,217.21,1.38,1.58,3.49,-4.83,1.23,29.71,-1.57,1013
Car,0.0,1,-1.45,499.71,179.79,541.21,208.96,1.43,1.64,4.33,-4.55,1.16,37.81,-1.57,1013
Car,0.0,2,-1.14,212.87,184.53,316.66,229.34,1.48,1.69,4.52,-12.57,1.47,26.62,-1.58,1013
Car,0.0,1,-1.21,295.4,183.27,360.75,217.64,1.48,1.57,3.75,-12.92,1.4,33.36,-1.57,1013
Car,0.96,0,2.4,0.0,221.35,69.13,374.0,1.42,1.54,3.5,-6.06,1.88,5.24,1.56,3131
Car,0.0,1,-1.89,758.86,175.27,1031.27,339.09,1.51,1.75,3.78,3.01,1.56,8.63,-1.57,3131
Car,0.0,0,2.08,59.22,200.1,318.19,320.85,1.36,1.51,4.02,-6.05,1.83,10.88,1.58,3131
Car,0.0,1,1.87,323.46,179.38,435.88,253.63,1.74,1.65,4.11,-5.98,1.92,19.1,1.57,3131
Car,0.0,0,1.66,542.13,178.12,575.06,200.78,1.41,1.76,4.4,-3.36,1.77,47.56,1.59,3131
Car,0.0,2,1.82,396.74,178.79,471.77,228.5,1.61,1.64,4.0,-6.17,1.83,25.6,1.58,3131
Car,0.0,1,1.74,461.92,182.41,508.69,212.9,1.43,1.7,3.74,-6.26,1.93,36.41,1.57,3131
Car,0.0,1,-1.62,637.69,173.66,661.07,193.79,1.55,1.66,4.15,3.12,1.64,58.12,-1.56,3131
Car,0.0,1,2.97,696.99,168.0,767.27,189.95,1.47,1.7,4.65,8.55,1.17,50.89,3.14,3131
Car,0.0,0,-1.58,599.11,174.41,627.46,202.42,1.65,1.67,3.64,0.17,1.77,44.75,-1.57,5081
Car,0.0,1,1.89,293.12,188.86,383.2,239.03,1.41,1.53,3.98,-8.66,1.96,23.21,1.53,5081
Car,0.53,0,-2.56,0.0,177.46,227.39,333.39,1.65,1.68,3.88,-6.96,1.73,8.51,3.05,519
Car,0.14,3,0.52,0.0,148.22,313.02,298.29,2.08,1.8,4.37,-7.18,1.76,11.1,-0.04,519
Car,0.44,3,-0.74,1014.31,186.89,1241.0,362.84,1.5,1.58,2.81,5.86,1.66,7.23,-0.08,519
Car,0.0,2,2.56,869.99,184.17,1238.02,317.38,1.57,1.68,3.97,5.77,1.75,9.74,3.08,519
Car,0.0,2,-0.47,792.48,186.25,1077.51,278.97,1.44,1.65,4.26,5.51,1.7,12.62,-0.07,519
Car,0.0,2,-0.39,780.11,170.05,995.86,262.23,1.77,1.69,3.82,5.64,1.74,15.04,-0.04,519
Car,0.0,2,-2.86,291.61,182.62,452.55,234.71,1.49,1.59,4.44,-7.28,1.82,22.25,3.11,519
Car,0.0,2,-2.87,340.46,181.19,472.85,227.01,1.48,1.63,4.1,-6.98,1.79,24.89,3.14,519
Car,0.0,0,-1.7,630.95,180.5,684.71,220.11,1.41,1.56,4.08,1.76,1.72,28.13,-1.64,519
Car,0.0,2,-1.62,617.93,177.28,647.66,202.42,1.43,1.58,3.37,1.3,1.71,43.21,-1.59,519
Car,0.0,0,-1.58,572.23,187.4,621.31,227.37,1.26,1.6,3.56,-0.53,1.8,25.41,-1.6,4101
Car,0.0,0,-1.41,506.25,185.77,554.91,218.54,1.37,1.63,3.57,-3.6,1.99,32.97,-1.51,4101
Car,0.0,0,1.77,369.14,186.5,411.15,209.58,1.25,1.64,3.77,-12.95,2.08,42.6,1.48,4101
Car,0.0,1,2.12,2.51,186.47,185.85,264.51,1.54,1.66,3.81,-11.7,1.88,16.65,1.52,4101
Car,0.0,1,-1.08,79.32,199.43,182.17,240.6,1.42,1.7,4.14,-19.31,2.56,29.23,-1.66,2732
Car,0.0,1,-0.98,2.68,198.18,119.27,242.24,1.52,1.71,4.11,-21.94,2.6,29.0,-1.62,2732
Car,0.0,0,-2.57,794.55,184.06,930.64,237.17,1.42,1.58,3.48,7.36,1.76,21.36,-2.24,5236
Car,0.0,0,1.92,334.94,184.89,378.85,208.53,1.53,1.81,3.33,-17.38,2.38,49.63,1.58,5236
Car,0.0,0,1.7,452.29,182.0,540.36,252.67,1.52,1.57,4.42,-2.74,1.76,17.97,1.55,6031
Car,0.0,0,1.37,684.97,185.87,811.81,279.87,1.51,1.58,3.92,2.45,1.78,13.91,1.54,6031
Car,0.0,2,1.4,682.11,180.33,759.52,243.71,1.55,1.47,3.36,2.87,1.76,19.51,1.54,6031
Car,0.0,1,1.61,531.09,182.78,568.76,216.72,1.46,1.6,3.33,-2.76,1.93,33.27,1.52,6031
Car,0.0,1,-1.64,646.95,178.9,689.59,216.34,1.64,1.7,3.54,2.64,1.94,33.72,-1.57,6031
Car,0.0,0,-1.05,184.0,178.98,251.12,211.39,1.57,1.57,3.32,-20.1,1.9,37.04,-1.54,5272
Car,0.0,1,2.04,241.22,177.49,305.85,206.14,1.57,1.2,5.24,-19.73,1.86,42.5,1.61,5272
Car,0.0,0,1.65,526.12,179.19,560.84,204.83,1.41,1.69,4.36,-3.88,1.79,42.35,1.56,5272
Car,0.0,0,1.75,418.07,169.61,510.57,242.03,1.72,1.66,4.32,-3.84,1.68,19.49,1.56,5272
Car,0.0,0,-1.56,588.52,174.48,626.47,212.28,1.62,1.63,4.5,-0.12,1.72,33.53,-1.56,5272
Car,0.0,1,0.28,415.51,183.18,503.66,209.05,1.36,1.68,4.49,-8.34,1.96,40.07,0.08,1642
Car,1.0,0,-2.51,956.71,115.64,1241.0,374.0,1.82,1.65,3.67,2.4,1.66,1.47,-1.58,1376
Car,0.35,1,-1.96,775.91,192.32,1209.54,374.0,1.52,1.51,4.28,2.69,1.74,6.35,-1.58,1376
Car,0.0,1,1.77,396.94,195.8,513.24,280.01,1.42,1.57,4.1,-3.13,1.96,15.12,1.57,1376
Car,0.0,1,-1.82,685.79,190.85,858.72,304.94,1.43,1.64,4.14,2.33,1.76,11.63,-1.62,1376
Car,0.0,0,1.63,524.23,186.07,559.36,215.81,1.38,1.53,3.58,-3.42,2.06,36.29,1.54,1376
Car,0.0,0,-1.63,631.37,181.8,664.18,209.2,1.49,1.65,4.06,2.12,2.02,41.96,-1.58,1376
Car,0.48,0,2.05,0.0,204.17,378.01,374.0,1.51,1.55,3.92,-3.49,1.86,6.37,1.56,3653
Car,0.59,0,-2.07,806.95,184.59,1241.0,374.0,1.48,1.56,3.62,2.68,1.58,5.07,-1.61,3653
Car,0.0,1,-1.86,711.11,183.75,910.64,301.98,1.39,1.54,4.6,2.71,1.57,11.02,-1.62,3653
Car,0.0,1,1.88,288.84,198.79,473.04,309.57,1.4,1.62,4.26,-3.61,1.9,12.06,1.6,3653
Car,0.0,2,1.75,402.19,188.53,492.89,257.38,1.46,1.52,3.48,-3.89,1.87,17.59,1.54,3653
Car,0.0,2,1.73,451.61,188.65,523.99,240.13,1.39,1.6,3.8,-3.71,1.91,22.23,1.56,3653
Car,0.0,2,-1.76,689.67,180.03,796.33,250.91,1.46,1.6,4.52,2.98,1.64,17.28,-1.6,3653
Car,0.0,2,-1.72,678.93,178.99,746.79,230.59,1.48,1.56,3.46,3.11,1.68,22.61,-1.59,3653
Car,0.0,2,2.9,866.04,158.3,978.75,209.99,2.05,1.8,3.95,12.85,1.5,29.96,-2.98,3653
Car,0.0,0,-1.8,637.44,179.52,674.96,205.56,1.51,1.53,3.38,2.76,1.93,44.14,-1.74,3653
Car,0.0,0,-1.86,595.84,182.32,626.17,200.12,1.39,1.54,3.42,0.04,2.17,58.76,-1.86,3653
Car,0.0,1,2.46,561.76,180.02,598.73,195.89,1.56,1.39,3.73,-3.04,2.31,73.96,2.42,3653
Car,0.0,0,-1.7,659.07,177.69,700.42,210.53,1.42,1.45,3.2,3.12,1.65,33.09,-1.61,5400
Car,0.0,0,-1.92,762.98,190.42,975.16,321.77,1.38,1.49,3.32,3.16,1.64,9.59,-1.61,5400
Car,0.0,1,-1.84,754.89,177.25,811.75,213.59,1.43,1.48,3.25,7.21,1.63,30.39,-1.61,5400
Car,0.0,2,-2.05,851.6,179.83,997.18,246.87,1.44,1.56,3.96,7.49,1.62,17.71,-1.66,5400
Car,0.0,0,1.63,610.08,162.36,649.92,195.49,1.49,1.68,4.08,1.43,0.62,34.68,1.66,1008
Car,0.0,0,-1.39,569.09,168.49,635.71,218.07,1.77,1.75,4.67,-0.23,1.64,28.21,-1.39,641
Car,0.0,0,-2.08,190.06,211.67,286.3,273.1,1.72,1.39,3.07,-11.87,3.01,22.91,-2.55,641
Car,0.0,1,-1.97,38.07,214.96,176.69,294.98,1.46,1.52,2.75,-10.91,2.42,15.57,-2.57,641
Car,0.1,1,-0.51,982.73,153.48,1241.0,241.17,1.48,1.63,3.98,9.22,1.18,13.22,0.09,641
Car,0.0,1,-0.36,859.2,158.51,1089.82,227.7,1.47,1.52,4.43,8.12,1.19,16.45,0.09,641
Car,0.0,1,1.69,620.64,160.72,660.31,192.23,1.6,1.68,3.94,1.67,1.0,38.9,1.73,641
Car,0.0,0,1.63,666.98,163.66,687.71,179.57,1.42,1.66,4.11,6.31,0.62,67.39,1.73,641
Car,0.0,0,-1.57,569.9,176.8,622.56,224.82,1.6,1.76,3.84,-0.46,1.31,26.13,-1.59,345
Car,0.0,2,-1.27,244.92,192.9,443.88,309.21,1.36,1.62,3.99,-3.76,1.52,10.91,-1.59,345
Car,0.0,1,-1.29,361.07,181.46,429.1,221.25,1.4,1.46,3.84,-8.09,1.27,27.54,-1.57,345
Car,0.0,2,-1.26,342.45,176.51,395.61,206.98,1.5,1.57,3.63,-12.41,1.06,37.49,-1.58,345
Car,0.0,2,-1.53,535.64,181.22,564.13,202.81,1.3,1.61,4.39,-3.68,1.05,46.02,-1.61,345
Car,0.0,0,-1.57,592.02,175.19,626.32,208.22,1.66,1.73,3.05,-0.07,1.81,38.24,-1.57,508
Car,0.8,3,1.99,0.0,192.45,82.24,318.41,1.51,1.59,3.66,-8.49,1.71,9.17,1.26,1496
Car,0.0,0,-1.58,574.99,178.15,629.64,231.08,1.61,1.66,3.2,-0.31,1.8,23.79,-1.59,2261
Car,0.81,0,-2.15,866.97,174.11,1241.0,374.0,1.62,1.48,3.36,2.78,1.64,4.09,-1.59,5426
Car,0.63,3,-2.43,0.0,151.64,177.71,361.9,1.95,1.67,3.35,-6.74,1.77,7.53,3.14,5426
Car,0.13,3,-2.58,0.0,189.4,274.91,303.14,1.42,1.55,3.35,-6.79,1.68,10.13,3.12,5426
Car,0.0,2,0.43,158.5,188.01,396.5,276.02,1.43,1.49,3.56,-5.86,1.73,12.88,0.01,5426
Car,0.0,2,0.37,243.66,182.51,445.38,261.71,1.53,1.6,3.62,-5.5,1.76,15.1,0.02,5426
Car,0.0,2,0.38,290.35,179.22,441.16,251.67,1.66,1.57,3.11,-5.93,1.84,17.59,0.06,5426
Car,0.0,2,0.34,298.88,176.33,475.83,240.48,1.66,1.71,4.34,-6.09,1.78,19.91,0.05,5426
Car,0.0,2,-2.95,368.44,178.46,488.28,225.23,1.51,1.66,3.73,-6.2,1.72,24.79,3.09,5426
Car,0.0,2,0.17,423.43,165.91,522.13,211.64,2.08,1.8,4.37,-6.52,1.79,34.43,-0.01,5426
Car,0.0,0,-1.71,691.14,184.58,775.79,249.55,1.38,1.49,3.38,2.84,1.68,17.43,-1.56,5426
Car,0.0,1,-0.21,748.15,173.21,888.65,229.81,1.67,1.6,3.94,6.39,1.71,22.55,0.06,5426
Car,0.0,2,-0.18,691.31,171.5,769.98,206.6,1.77,1.69,3.82,6.28,1.73,37.98,-0.02,5426
Car,0.0,0,-1.67,635.76,178.78,663.4,199.7,1.41,1.56,4.08,2.76,1.85,51.38,-1.61,5426
Car,0.86,0,-2.18,914.89,195.29,1241.0,374.0,1.43,1.59,4.21,3.56,1.63,4.6,-1.55,6564
Car,0.0,0,2.22,268.02,180.93,402.56,234.65,1.41,1.59,4.01,-8.02,1.67,21.35,1.87,6564
Car,0.0,0,2.59,602.63,170.01,693.34,205.09,1.59,1.64,4.08,1.81,1.48,34.64,2.65,6564
Car,0.0,1,2.88,825.3,168.25,926.16,197.87,1.46,1.64,4.63,13.69,1.26,37.45,-3.05,6564
Car,0.0,0,-0.57,532.67,175.66,603.4,204.94,1.49,1.59,3.46,-2.26,1.65,38.67,-0.63,6564
Car,0.0,1,0.7,233.26,179.51,323.43,212.64,1.5,1.62,3.67,-15.64,1.83,33.99,0.27,6564
Car,0.0,2,1.81,568.49,175.26,593.55,192.18,1.45,1.3,4.04,-2.57,1.68,64.4,1.77,6564
Car,0.0,2,1.91,528.65,176.64,558.18,194.16,1.5,1.44,3.69,-5.9,1.85,64.08,1.82,6564
Car,0.0,0,-1.52,560.49,188.81,617.32,235.29,1.36,1.69,3.38,-0.67,1.92,23.75,-1.55,1843
Car,0.0,1,-2.57,325.95,181.24,476.6,243.87,1.66,1.63,3.83,-5.96,1.92,20.52,-2.85,1843
Car,0.0,2,-2.32,428.41,186.97,517.89,222.15,1.45,1.61,3.96,-6.14,2.09,32.0,-2.51,1843
Car,0.0,2,-2.33,450.14,187.48,527.8,217.58,1.36,1.57,3.73,-5.92,2.09,34.96,-2.49,1843
Car,0.0,2,-1.51,540.95,187.9,575.86,212.22,1.25,1.74,3.66,-2.89,2.12,40.57,-1.58,1843
Car,0.09,0,-1.96,784.69,201.29,1119.65,374.0,1.4,1.66,4.08,3.24,1.78,7.92,-1.59,1843
Car,0.0,2,-1.56,583.15,186.79,622.34,223.31,1.52,1.67,3.61,-0.34,2.17,32.74,-1.57,1843
Car,0.0,0,-1.34,333.51,179.97,521.86,308.85,1.47,1.6,4.41,-2.42,1.58,10.51,-1.57,6752
Car,0.01,0,-1.84,741.39,166.54,1035.98,374.0,1.63,1.69,3.88,2.48,1.6,7.58,-1.54,6752
Car,0.0,1,-1.34,436.41,181.83,560.24,261.36,1.46,1.68,4.1,-2.27,1.67,15.46,-1.48,6752
Car,0.0,1,-1.66,671.03,179.47,722.63,219.76,1.49,1.64,4.17,3.38,1.76,29.01,-1.55,6752
Car,0.0,2,-1.75,710.56,182.65,841.29,275.26,1.41,1.56,3.97,2.81,1.61,13.21,-1.54,6752
Car,0.0,0,-1.55,569.81,173.83,601.17,202.53,1.6,1.75,3.89,-1.43,1.68,42.57,-1.58,6752
Car,0.0,2,-1.66,659.33,176.26,694.98,205.72,1.59,1.64,4.03,3.78,1.81,41.38,-1.57,6752
Car,0.0,0,-1.33,299.59,176.06,527.06,335.21,1.63,1.81,4.54,-2.35,1.7,9.75,-1.57,3010
Car,0.23,0,-1.82,903.53,183.91,1241.0,374.0,1.47,1.54,3.02,3.49,1.58,6.08,-1.32,3010
Car,0.0,1,2.02,50.65,194.81,326.66,333.02,1.42,1.58,4.08,-5.49,1.77,9.98,1.53,3010
Car,0.0,2,-1.26,903.65,176.08,1103.6,294.51,1.5,1.52,4.12,6.19,1.57,11.2,-0.76,3010
Car,0.0,1,2.11,49.58,201.59,198.11,265.08,1.35,1.5,3.64,-12.39,2.15,18.6,1.53,858
Car,0.0,0,1.69,490.6,188.74,553.02,235.61,1.42,1.66,4.11,-3.0,2.0,24.93,1.57,3928
Car,0.0,0,1.59,568.94,169.48,589.32,190.55,1.97,1.87,4.53,-2.99,1.69,70.43,1.55,3928
Car,0.0,0,1.64,540.52,186.2,571.03,209.35,1.42,1.74,4.24,-3.58,2.33,47.94,1.56,6977
Car,0.0,1,2.54,19.3,173.9,160.83,227.87,1.78,1.67,3.85,-18.58,1.84,25.93,1.92,2308
Car,0.28,1,2.53,0.0,186.28,97.3,227.8,1.59,1.76,4.18,-24.37,2.19,30.47,1.86,2308
Car,0.0,1,2.94,298.41,173.43,397.62,204.78,1.66,1.57,5.04,-14.78,1.72,40.76,2.59,2308
Car,0.0,0,2.84,776.33,169.99,844.6,194.91,1.49,1.46,3.84,12.49,1.34,45.13,3.11,2308
Car,0.0,1,-1.94,832.72,166.0,871.18,188.36,1.75,1.57,4.07,19.69,1.24,58.92,-1.62,2308
Car,0.0,0,1.96,325.84,178.85,371.06,202.22,1.58,1.64,3.88,-18.52,2.02,51.19,1.62,1122
Car,0.0,1,1.93,354.4,180.4,396.96,199.57,1.43,1.81,4.16,-18.34,2.03,56.6,1.62,1122
Car,0.0,0,-1.47,578.03,188.83,613.08,215.26,1.44,1.66,4.53,-0.84,2.43,43.36,-1.49,4775
Car,0.0,0,-0.29,853.57,174.42,1139.61,272.88,1.57,1.65,4.09,6.5,1.62,12.64,0.18,2429
Car,0.78,0,-0.66,1089.78,182.76,1241.0,374.0,1.63,1.53,3.45,6.43,1.71,6.31,0.11,2380
Car,0.0,0,2.7,813.71,166.58,1078.66,264.51,1.76,1.71,4.4,6.43,1.67,14.19,3.12,2380
Car,0.13,3,0.56,0.0,130.71,311.81,299.42,2.22,1.68,4.08,-6.77,1.69,10.48,-0.0,2380
Car,0.0,2,-2.67,111.08,183.42,335.34,268.53,1.4,1.46,3.23,-6.87,1.61,12.94,3.13,2380
Car,0.0,1,-2.83,283.89,182.46,458.16,239.12,1.46,1.61,4.31,-6.59,1.75,20.06,3.14,2380
Car,0.0,2,-3.02,362.72,170.56,498.93,225.98,1.8,1.77,4.41,-6.17,1.75,25.11,3.02,2380
Car,0.0,2,-2.94,447.88,177.06,512.43,206.44,1.58,1.54,3.3,-7.26,1.83,40.34,-3.12,2380
Car,1.0,0,2.45,0.0,150.38,183.26,374.0,1.91,1.66,4.22,-3.18,1.82,1.97,1.5,7153
Car,0.14,0,1.91,127.81,171.21,452.9,374.0,1.83,1.69,4.28,-3.02,1.84,7.8,1.55,7153
Car,0.0,0,1.85,508.19,186.84,591.36,239.55,1.51,1.63,4.03,-1.89,1.99,23.42,1.77,7153
Car,0.0,1,1.91,564.76,185.22,627.34,227.09,1.57,1.44,3.6,-0.54,2.1,29.63,1.89,7153
Car,0.0,1,1.86,619.51,186.3,670.03,219.05,1.47,1.51,3.5,1.71,2.14,35.06,1.91,7153
Car,0.0,1,-1.26,794.28,170.48,833.21,192.57,1.77,1.75,4.67,17.02,1.6,60.17,-0.98,7153
Car,0.0,0,1.93,338.7,181.49,392.68,206.06,1.49,1.88,4.41,-15.8,2.07,46.84,1.61,6249
Car,0.0,0,1.8,465.85,176.84,490.2,192.5,1.48,1.61,3.39,-12.94,1.89,70.85,1.62,6249
Car,0.0,1,1.77,412.32,186.04,460.72,217.29,1.56,1.73,4.37,-9.44,2.31,39.45,1.53,297
Car,0.0,1,1.75,458.94,183.36,488.76,206.38,1.6,1.67,2.65,-9.87,2.38,52.36,1.56,297
Car,0.0,0,-1.6,602.0,180.61,620.19,194.57,1.26,1.6,3.56,0.07,1.99,67.64,-1.6,297
Car,0.0,0,-1.7,655.28,173.24,678.51,190.44,1.62,1.72,4.35,5.55,1.69,70.91,-1.62,7328
Car,0.0,0,-1.91,785.48,186.13,965.96,301.47,1.42,1.45,3.2,3.71,1.63,10.72,-1.58,7328
Car,0.24,0,-2.21,1027.95,184.56,1241.0,305.73,1.43,1.48,3.25,7.67,1.62,10.36,-1.58,7328
Car,0.0,0,1.66,507.05,177.97,545.05,210.62,1.7,1.72,4.11,-4.63,2.0,40.04,1.54,1197
Car,0.0,0,1.57,592.06,181.09,614.1,200.81,1.41,1.59,4.47,-0.55,2.05,54.73,1.56,5463
Car,0.59,0,-2.01,862.63,183.1,1241.0,374.0,1.41,1.57,3.16,2.91,1.5,4.86,-1.5,4289
Car,0.1,0,2.14,0.0,204.95,277.59,362.44,1.53,1.56,3.58,-6.01,2.02,9.39,1.59,4289
Car,0.0,1,1.75,443.5,188.92,493.44,224.15,1.42,1.54,3.5,-6.24,2.16,31.96,1.56,4289
Car,0.0,1,-1.65,648.88,176.49,691.13,209.35,1.51,1.75,3.78,2.87,1.71,35.5,-1.57,4289
Car,0.0,2,1.75,467.84,187.19,511.07,215.93,1.36,1.51,4.02,-6.24,2.13,37.5,1.58,4289
Car,0.0,2,-1.0,97.55,204.36,177.37,234.58,1.43,1.8,3.96,-25.94,3.24,39.72,-1.57,4289
Car,0.0,2,-1.04,146.77,202.29,218.61,231.68,1.4,1.6,3.97,-23.46,3.09,39.71,-1.57,4289
Car,0.0,2,-1.08,186.19,198.3,262.4,230.08,1.49,1.7,4.51,-20.84,2.94,39.14,-1.56,4289
Car,0.0,2,-1.14,239.62,197.83,306.48,229.42,1.5,1.56,4.45,-18.3,2.92,39.33,-1.57,4289
Car,0.0,0,-1.41,593.21,170.44,622.89,189.74,1.43,1.66,4.15,0.58,0.6,55.88,-1.41,3052
Car,0.0,0,-1.49,536.09,169.72,571.86,199.93,1.48,1.56,3.62,-2.42,0.9,37.29,-1.56,3052
Car,0.0,0,-0.03,142.27,172.55,316.62,236.34,1.67,1.64,4.32,-10.7,1.44,20.82,-0.51,3052
Car,0.0,1,2.05,328.74,169.92,397.35,203.44,1.68,1.67,4.29,-12.66,1.1,38.44,1.73,3052
Car,0.48,0,2.1,0.0,198.06,315.45,374.0,1.48,1.67,3.83,-4.45,1.78,6.9,1.55,415
Car,0.0,1,-1.72,671.59,176.6,761.98,244.46,1.51,1.59,4.28,2.55,1.63,18.41,-1.59,415
Car,0.0,2,0.46,204.87,180.64,357.39,236.47,1.5,1.52,3.65,-9.33,1.74,20.53,0.04,415
Car,0.0,1,-1.83,740.84,180.92,907.08,293.77,1.43,1.51,3.33,3.01,1.56,10.94,-1.57,415
Car,0.0,2,-1.68,663.28,176.97,722.17,226.75,1.56,1.57,3.78,2.72,1.72,24.74,-1.57,415
Car,0.0,0,1.72,439.68,178.5,506.26,224.68,1.47,1.71,3.85,-4.72,1.68,25.14,1.53,415
Car,0.0,2,1.71,471.92,169.79,523.92,213.5,1.73,1.65,3.7,-4.73,1.63,30.65,1.56,415
Car,0.2,0,-1.97,792.64,191.19,1168.05,374.0,1.45,1.61,3.51,2.88,1.65,6.58,-1.57,415
Car,0.0,2,1.68,501.64,173.59,542.48,209.17,1.68,1.63,3.94,-4.42,1.75,36.45,1.56,415
Car,0.0,0,-1.7,534.35,176.46,556.33,190.61,1.34,1.69,3.6,-6.42,1.72,71.21,-1.79,415
Car,0.0,0,2.02,82.97,186.3,354.26,339.32,1.62,1.66,3.81,-5.0,1.83,9.79,1.55,6597
Car,0.0,1,1.77,420.67,182.31,495.67,228.04,1.46,1.67,4.92,-5.39,1.82,26.02,1.57,6597
Car,0.0,2,1.77,506.81,181.69,548.71,206.11,1.42,1.73,4.41,-5.1,1.99,45.04,1.66,6597
Car,0.0,1,-1.57,640.77,176.66,670.77,201.3,1.51,1.84,4.1,2.95,1.78,46.76,-1.5,6597
Car,0.23,0,-1.95,771.49,173.3,1172.31,374.0,1.61,1.67,3.62,2.63,1.64,6.33,-1.58,6597
Car,0.0,0,2.02,327.69,180.47,403.16,217.82,1.49,1.58,3.84,-10.39,1.52,30.92,1.7,6526
Car,0.0,0,-1.76,777.21,175.29,964.46,317.43,1.54,1.57,3.52,3.29,1.48,9.5,-1.44,6526
Car,0.0,1,-1.8,722.26,174.12,847.8,259.74,1.5,1.63,3.57,3.46,1.39,14.34,-1.56,6526
Car,0.0,1,-1.69,693.98,175.66,766.81,232.38,1.47,1.59,3.64,3.5,1.35,20.39,-1.52,6526
Car,0.0,2,-1.67,674.56,175.43,734.94,220.5,1.49,1.74,4.09,3.53,1.32,25.76,-1.53,6526
Car,0.0,2,-1.64,657.34,177.06,692.22,206.35,1.44,1.58,3.28,3.61,1.28,37.01,-1.54,6526
Car,0.0,0,-1.58,597.98,179.19,642.57,222.12,1.66,1.73,3.05,0.37,1.94,29.77,-1.57,5944
Car,0.0,0,-1.58,600.84,172.76,628.52,200.11,1.65,1.67,3.64,0.25,1.67,45.79,-1.58,1786
Car,0.0,1,2.08,118.4,193.66,267.93,257.73,1.46,1.58,4.32,-11.19,2.08,19.68,1.57,1786
Car,0.0,0,-1.55,615.05,174.33,668.9,226.28,1.61,1.66,3.2,1.06,1.68,24.15,-1.51,6681
Car,0.0,0,1.83,368.47,184.74,488.53,261.27,1.44,1.61,3.66,-3.85,1.72,15.73,1.6,6681
Car,0.0,2,1.98,314.76,186.82,421.03,244.43,1.41,1.53,3.37,-6.57,1.81,19.81,1.66,6681
Car,0.0,1,-1.82,722.09,147.77,915.04,299.42,1.78,1.59,4.33,2.76,1.51,10.71,-1.57,6695
Car,0.0,1,1.36,688.59,171.7,799.03,251.05,1.53,1.57,3.87,2.79,1.54,16.04,1.53,6695
Car,0.0,1,-1.77,639.83,175.55,705.46,221.25,1.45,1.61,3.34,2.05,1.56,24.88,-1.68,6695
Car,0.21,0,-1.31,0.0,195.1,99.1,260.67,1.48,1.6,3.72,-14.9,2.1,18.92,-1.97,6695
