image,bbox
3052,"[np.float64(142.27), np.float64(172.55), np.float64(316.62), np.float64(236.34)]"
415,"[np.float64(439.68), np.float64(178.5), np.float64(506.26), np.float64(224.68)]"
6597,"[np.float64(82.97), np.float64(186.3), np.float64(354.26), np.float64(339.32)]"
6526,"[np.float64(777.21), np.float64(175.29), np.float64(964.46), np.float64(317.43)]"
5944,"[np.float64(597.98), np.float64(179.19), np.float64(642.57), np.float64(222.12)]"
6681,"[np.float64(615.05), np.float64(174.33), np.float64(668.9), np.float64(226.28)]"
6681,"[np.float64(368.47), np.float64(184.74), np.float64(488.53), np.float64(261.27)]"
6019,"[np.float64(429.96), np.float64(179.92), np.float64(513.19), np.float64(243.78)]"
6724,"[np.float64(689.18), np.float64(179.55), np.float64(753.34), np.float64(228.15)]"
6724,"[np.float64(819.25), np.float64(178.89), np.float64(910.06), np.float64(231.2)]"
5928,"[np.float64(680.85), np.float64(187.28), np.float64(971.65), np.float64(298.3)]"
4849,"[np.float64(752.83), np.float64(177.77), np.float64(1046.26), np.float64(272.24)]"
4156,"[np.float64(737.55), np.float64(175.31), np.float64(858.9), np.float64(263.11)]"
5052,"[np.float64(222.5), np.float64(186.88), np.float64(486.05), np.float64(364.82)]"
3577,"[np.float64(687.28), np.float64(173.35), np.float64(745.64), np.float64(218.25)]"
3549,"[np.float64(686.46), np.float64(167.41), np.float64(783.22), np.float64(249.56)]"
3459,"[np.float64(594.53), np.float64(181.4), np.float64(659.14), np.float64(234.04)]"
3459,"[np.float64(747.79), np.float64(187.13), np.float64(884.75), np.float64(268.09)]"
3739,"[np.float64(575.23), np.float64(169.88), np.float64(631.32), np.float64(216.38)]"
4225,"[np.float64(580.36), np.float64(184.76), np.float64(678.78), np.float64(275.78)]"
4241,"[np.float64(570.09), np.float64(180.61), np.float64(636.82), np.float64(231.81)]"
7364,"[np.float64(556.25), np.float64(176.36), np.float64(608.26), np.float64(223.78)]"
7364,"[np.float64(88.31), np.float64(175.4), np.float64(291.7), np.float64(276.43)]"
7364,"[np.float64(397.72), np.float64(175.99), np.float64(512.05), np.float64(259.55)]"
400,"[np.float64(685.77), np.float64(178.12), np.float64(767.02), np.float64(235.21)]"
4880,"[np.float64(9.69), np.float64(173.14), np.float64(120.34), np.float64(216.22)]"
4880,"[np.float64(574.76), np.float64(173.57), np.float64(614.95), np.float64(213.62)]"
2082,"[np.float64(997.9), np.float64(158.72), np.float64(1162.44), np.float64(246.55)]"
2082,"[np.float64(449.64), np.float64(191.92), np.float64(583.01), np.float64(267.12)]"
1878,"[np.float64(653.0), np.float64(184.43), np.float64(715.43), np.float64(227.06)]"
3588,"[np.float64(463.04), np.float64(181.19), np.float64(529.9), np.float64(229.43)]"
1166,"[np.float64(222.1), np.float64(191.45), np.float64(467.15), np.float64(344.94)]"
5953,"[np.float64(279.37), np.float64(202.01), np.float64(387.5), np.float64(261.29)]"
7028,"[np.float64(426.55), np.float64(184.15), np.float64(523.39), np.float64(265.13)]"
7028,"[np.float64(670.36), np.float64(163.75), np.float64(774.4), np.float64(258.1)]"
3845,"[np.float64(563.32), np.float64(175.26), np.float64(614.06), np.float64(224.37)]"
248,"[np.float64(430.72), np.float64(185.6), np.float64(502.46), np.float64(234.14)]"
7346,"[np.float64(248.47), np.float64(185.55), np.float64(447.01), np.float64(311.8)]"
7346,"[np.float64(529.39), np.float64(171.98), np.float64(591.42), np.float64(228.56)]"
4232,"[np.float64(671.86), np.float64(185.15), np.float64(759.0), np.float64(243.69)]"
6771,"[np.float64(214.52), np.float64(190.44), np.float64(309.1), np.float64(236.97)]"
6956,"[np.float64(569.91), np.float64(181.23), np.float64(620.58), np.float64(221.52)]"
2399,"[np.float64(714.09), np.float64(168.57), np.float64(863.95), np.float64(286.66)]"
2399,"[np.float64(662.11), np.float64(181.01), np.float64(715.85), np.float64(223.77)]"
7374,"[np.float64(570.74), np.float64(173.33), np.float64(670.85), np.float64(269.75)]"
6601,"[np.float64(543.14), np.float64(184.25), np.float64(592.1), np.float64(225.72)]"
2508,"[np.float64(586.11), np.float64(178.3), np.float64(655.56), np.float64(234.75)]"
6272,"[np.float64(800.65), np.float64(180.06), np.float64(1097.16), np.float64(368.22)]"
6272,"[np.float64(112.28), np.float64(200.03), np.float64(331.6), np.float64(320.55)]"
5586,"[np.float64(306.63), np.float64(191.61), np.float64(481.1), np.float64(291.59)]"
6505,"[np.float64(23.92), np.float64(194.66), np.float64(193.49), np.float64(260.75)]"
5409,"[np.float64(425.61), np.float64(183.19), np.float64(562.5), np.float64(269.58)]"
3697,"[np.float64(679.85), np.float64(182.0), np.float64(754.58), np.float64(236.49)]"
3697,"[np.float64(809.92), np.float64(184.63), np.float64(1151.41), np.float64(372.23)]"
4089,"[np.float64(222.24), np.float64(184.59), np.float64(363.13), np.float64(258.95)]"
627,"[np.float64(409.2), np.float64(183.32), np.float64(484.47), np.float64(243.32)]"
6043,"[np.float64(128.81), np.float64(199.41), np.float64(377.32), np.float64(334.64)]"
4734,"[np.float64(743.42), np.float64(171.89), np.float64(881.93), np.float64(256.58)]"
3094,"[np.float64(498.05), np.float64(175.7), np.float64(636.59), np.float64(271.38)]"
3094,"[np.float64(652.82), np.float64(167.01), np.float64(705.57), np.float64(207.57)]"
3094,"[np.float64(800.1), np.float64(174.02), np.float64(872.54), np.float64(237.75)]"
6545,"[np.float64(578.99), np.float64(179.04), np.float64(638.65), np.float64(236.73)]"
4743,"[np.float64(163.16), np.float64(184.74), np.float64(380.78), np.float64(299.42)]"
6829,"[np.float64(752.06), np.float64(186.52), np.float64(935.73), np.float64(272.91)]"
1612,"[np.float64(592.78), np.float64(172.83), np.float64(642.91), np.float64(220.25)]"
1612,"[np.float64(268.11), np.float64(189.7), np.float64(389.79), np.float64(254.03)]"
1612,"[np.float64(791.55), np.float64(167.81), np.float64(1025.11), np.float64(288.2)]"
678,"[np.float64(329.85), np.float64(190.87), np.float64(467.65), np.float64(291.03)]"
79,"[np.float64(357.22), np.float64(182.05), np.float64(567.87), np.float64(301.78)]"
531,"[np.float64(253.94), np.float64(187.21), np.float64(409.48), np.float64(263.18)]"
531,"[np.float64(502.21), np.float64(173.05), np.float64(570.88), np.float64(221.75)]"
531,"[np.float64(851.31), np.float64(173.45), np.float64(1004.61), np.float64(248.3)]"
258,"[np.float64(279.38), np.float64(194.03), np.float64(415.27), np.float64(267.25)]"
258,"[np.float64(705.24), np.float64(181.57), np.float64(763.02), np.float64(229.01)]"
905,"[np.float64(411.68), np.float64(193.66), np.float64(453.77), np.float64(233.86)]"
392,"[np.float64(792.08), np.float64(191.36), np.float64(1069.66), np.float64(363.02)]"
392,"[np.float64(32.99), np.float64(185.54), np.float64(350.25), np.float64(285.1)]"
392,"[np.float64(679.74), np.float64(183.29), np.float64(737.71), np.float64(224.72)]"
4866,"[np.float64(593.52), np.float64(184.95), np.float64(673.83), np.float64(251.28)]"
323,"[np.float64(3.78), np.float64(210.08), np.float64(329.81), np.float64(358.59)]"
323,"[np.float64(704.29), np.float64(172.82), np.float64(803.3), np.float64(254.27)]"
323,"[np.float64(960.23), np.float64(157.46), np.float64(1142.32), np.float64(258.19)]"
2520,"[np.float64(553.7), np.float64(174.3), np.float64(625.75), np.float64(240.0)]"
2520,"[np.float64(258.96), np.float64(196.01), np.float64(470.75), np.float64(318.59)]"
7416,"[np.float64(553.67), np.float64(171.73), np.float64(711.51), np.float64(323.81)]"
1945,"[np.float64(154.24), np.float64(189.56), np.float64(269.85), np.float64(242.96)]"
4333,"[np.float64(373.83), np.float64(181.76), np.float64(491.63), np.float64(259.88)]"
4333,"[np.float64(704.86), np.float64(179.89), np.float64(812.14), np.float64(257.85)]"
5156,"[np.float64(792.5), np.float64(175.88), np.float64(1148.22), np.float64(360.85)]"
5156,"[np.float64(97.92), np.float64(173.33), np.float64(414.58), np.float64(374.0)]"
2489,"[np.float64(692.67), np.float64(189.13), np.float64(834.5), np.float64(288.41)]"
2489,"[np.float64(322.62), np.float64(196.84), np.float64(445.95), np.float64(273.66)]"
5212,"[np.float64(640.87), np.float64(164.24), np.float64(703.9), np.float64(213.47)]"
797,"[np.float64(297.89), np.float64(190.29), np.float64(424.13), np.float64(288.47)]"
4982,"[np.float64(579.82), np.float64(176.46), np.float64(630.27), np.float64(224.47)]"
4982,"[np.float64(735.3), np.float64(175.17), np.float64(881.73), np.float64(282.78)]"
4982,"[np.float64(667.72), np.float64(172.88), np.float64(717.37), np.float64(216.07)]"
2051,"[np.float64(673.9), np.float64(179.89), np.float64(762.15), np.float64(250.64)]"
6192,"[np.float64(425.94), np.float64(183.29), np.float64(539.11), np.float64(275.22)]"
551,"[np.float64(720.77), np.float64(180.4), np.float64(779.04), np.float64(229.03)]"
4688,"[np.float64(331.84), np.float64(182.31), np.float64(458.73), np.float64(228.86)]"
2422,"[np.float64(780.86), np.float64(170.56), np.float64(917.5), np.float64(272.0)]"
7376,"[np.float64(451.98), np.float64(186.28), np.float64(525.38), np.float64(239.03)]"
5674,"[np.float64(587.94), np.float64(176.67), np.float64(670.34), np.float64(254.52)]"
4840,"[np.float64(47.66), np.float64(174.62), np.float64(147.46), np.float64(214.97)]"
1371,"[np.float64(761.59), np.float64(166.03), np.float64(1070.22), np.float64(374.0)]"
1371,"[np.float64(678.56), np.float64(187.29), np.float64(756.78), np.float64(247.45)]"
7061,"[np.float64(568.75), np.float64(183.61), np.float64(621.88), np.float64(226.25)]"
7061,"[np.float64(4.83), np.float64(193.94), np.float64(176.61), np.float64(256.92)]"
4145,"[np.float64(696.38), np.float64(178.63), np.float64(791.43), np.float64(243.75)]"
6352,"[np.float64(225.42), np.float64(187.24), np.float64(405.49), np.float64(281.2)]"
2854,"[np.float64(198.83), np.float64(152.29), np.float64(463.47), np.float64(344.49)]"
7166,"[np.float64(322.74), np.float64(165.56), np.float64(467.26), np.float64(263.73)]"
7166,"[np.float64(774.66), np.float64(160.07), np.float64(1063.02), np.float64(340.71)]"
126,"[np.float64(315.89), np.float64(189.95), np.float64(441.04), np.float64(267.24)]"
6048,"[np.float64(575.25), np.float64(172.14), np.float64(630.24), np.float64(222.27)]"
6048,"[np.float64(362.95), np.float64(183.32), np.float64(467.9), np.float64(247.46)]"
917,"[np.float64(278.11), np.float64(167.1), np.float64(465.46), np.float64(228.82)]"
3209,"[np.float64(162.52), np.float64(190.69), np.float64(319.44), np.float64(261.71)]"
3209,"[np.float64(310.57), np.float64(177.14), np.float64(402.32), np.float64(235.28)]"
2945,"[np.float64(854.79), np.float64(145.1), np.float64(1078.11), np.float64(295.49)]"
4601,"[np.float64(107.21), np.float64(186.25), np.float64(292.14), np.float64(279.17)]"
4601,"[np.float64(321.21), np.float64(184.35), np.float64(412.33), np.float64(231.01)]"
6033,"[np.float64(234.59), np.float64(195.56), np.float64(379.34), np.float64(278.14)]"
1604,"[np.float64(591.78), np.float64(176.65), np.float64(634.94), np.float64(217.45)]"
7324,"[np.float64(0.0), np.float64(169.09), np.float64(287.9), np.float64(284.41)]"
1104,"[np.float64(577.15), np.float64(173.46), np.float64(640.42), np.float64(231.12)]"
2820,"[np.float64(696.28), np.float64(176.65), np.float64(895.15), np.float64(243.67)]"
6772,"[np.float64(487.57), np.float64(178.84), np.float64(539.54), np.float64(228.0)]"
1274,"[np.float64(651.62), np.float64(183.48), np.float64(763.32), np.float64(255.54)]"
1274,"[np.float64(340.29), np.float64(190.78), np.float64(428.12), np.float64(249.42)]"
157,"[np.float64(891.44), np.float64(125.59), np.float64(1231.34), np.float64(319.09)]"
157,"[np.float64(319.23), np.float64(192.29), np.float64(406.17), np.float64(238.46)]"
157,"[np.float64(219.4), np.float64(194.58), np.float64(279.65), np.float64(242.44)]"
3231,"[np.float64(484.01), np.float64(188.6), np.float64(543.22), np.float64(229.01)]"
2539,"[np.float64(345.58), np.float64(194.87), np.float64(482.45), np.float64(286.72)]"
3051,"[np.float64(601.34), np.float64(182.57), np.float64(681.06), np.float64(258.45)]"
3051,"[np.float64(736.79), np.float64(175.22), np.float64(881.58), np.float64(246.01)]"
3051,"[np.float64(311.74), np.float64(191.07), np.float64(397.75), np.float64(233.13)]"
4511,"[np.float64(576.97), np.float64(176.63), np.float64(662.61), np.float64(254.58)]"
4511,"[np.float64(65.55), np.float64(196.7), np.float64(353.34), np.float64(346.19)]"
4511,"[np.float64(358.37), np.float64(183.46), np.float64(475.4), np.float64(253.6)]"
2421,"[np.float64(222.06), np.float64(198.28), np.float64(350.49), np.float64(264.82)]"
182,"[np.float64(78.0), np.float64(202.9), np.float64(387.08), np.float64(374.0)]"
4755,"[np.float64(469.16), np.float64(183.29), np.float64(521.11), np.float64(223.52)]"
6968,"[np.float64(454.52), np.float64(188.34), np.float64(558.22), np.float64(256.76)]"
2808,"[np.float64(127.19), np.float64(199.88), np.float64(415.66), np.float64(374.0)]"
2608,"[np.float64(452.34), np.float64(191.44), np.float64(519.08), np.float64(255.75)]"
1676,"[np.float64(842.71), np.float64(187.88), np.float64(1218.7), np.float64(374.0)]"
1676,"[np.float64(127.19), np.float64(181.97), np.float64(425.62), np.float64(355.94)]"
1676,"[np.float64(537.96), np.float64(176.37), np.float64(603.51), np.float64(221.22)]"
3663,"[np.float64(316.91), np.float64(201.93), np.float64(400.69), np.float64(254.57)]"
4057,"[np.float64(94.0), np.float64(182.83), np.float64(264.52), np.float64(248.4)]"
4421,"[np.float64(603.98), np.float64(176.44), np.float64(645.82), np.float64(218.47)]"
4421,"[np.float64(266.39), np.float64(193.34), np.float64(462.28), np.float64(303.0)]"
5313,"[np.float64(153.33), np.float64(185.03), np.float64(278.53), np.float64(235.15)]"
5623,"[np.float64(795.96), np.float64(179.79), np.float64(1113.48), np.float64(353.03)]"
132,"[np.float64(739.66), np.float64(170.06), np.float64(786.66), np.float64(211.04)]"
421,"[np.float64(518.66), np.float64(165.84), np.float64(740.86), np.float64(374.0)]"
442,"[np.float64(0.0), np.float64(159.03), np.float64(494.32), np.float64(360.76)]"
442,"[np.float64(632.66), np.float64(179.46), np.float64(760.83), np.float64(250.58)]"
442,"[np.float64(773.24), np.float64(171.55), np.float64(840.29), np.float64(215.18)]"
6584,"[np.float64(363.31), np.float64(180.35), np.float64(475.8), np.float64(261.1)]"
1702,"[np.float64(200.66), np.float64(198.21), np.float64(501.03), np.float64(374.0)]"
1306,"[np.float64(569.98), np.float64(173.19), np.float64(656.51), np.float64(251.99)]"
1306,"[np.float64(366.33), np.float64(184.61), np.float64(467.32), np.float64(247.11)]"
4534,"[np.float64(238.89), np.float64(185.43), np.float64(320.8), np.float64(226.55)]"
4341,"[np.float64(218.07), np.float64(163.41), np.float64(531.38), np.float64(344.68)]"
3098,"[np.float64(140.18), np.float64(189.82), np.float64(470.88), np.float64(373.0)]"
3098,"[np.float64(584.51), np.float64(170.59), np.float64(637.21), np.float64(218.66)]"
6097,"[np.float64(642.12), np.float64(174.08), np.float64(715.17), np.float64(233.45)]"
6097,"[np.float64(451.0), np.float64(186.13), np.float64(530.66), np.float64(246.32)]"
4856,"[np.float64(567.85), np.float64(186.57), np.float64(703.28), np.float64(272.84)]"
4856,"[np.float64(804.54), np.float64(179.34), np.float64(862.19), np.float64(220.86)]"
4585,"[np.float64(999.39), np.float64(172.65), np.float64(1219.98), np.float64(247.84)]"
6927,"[np.float64(566.75), np.float64(183.51), np.float64(623.35), np.float64(229.23)]"
6927,"[np.float64(749.26), np.float64(189.69), np.float64(953.87), np.float64(309.84)]"
3258,"[np.float64(133.17), np.float64(189.32), np.float64(301.97), np.float64(267.16)]"
5026,"[np.float64(658.92), np.float64(177.94), np.float64(730.28), np.float64(229.85)]"
4451,"[np.float64(322.63), np.float64(193.48), np.float64(436.83), np.float64(282.96)]"
7098,"[np.float64(252.08), np.float64(194.13), np.float64(336.34), np.float64(234.96)]"
2060,"[np.float64(568.95), np.float64(180.29), np.float64(625.39), np.float64(225.6)]"
2060,"[np.float64(83.3), np.float64(180.63), np.float64(354.17), np.float64(329.51)]"
2060,"[np.float64(737.01), np.float64(186.86), np.float64(906.79), np.float64(288.61)]"
4293,"[np.float64(49.26), np.float64(185.73), np.float64(255.87), np.float64(268.72)]"
4293,"[np.float64(661.49), np.float64(165.83), np.float64(726.57), np.float64(213.25)]"
5011,"[np.float64(710.57), np.float64(188.33), np.float64(854.64), np.float64(290.92)]"
2052,"[np.float64(322.89), np.float64(180.12), np.float64(403.53), np.float64(229.6)]"
5717,"[np.float64(171.76), np.float64(178.21), np.float64(365.88), np.float64(289.85)]"
3474,"[np.float64(742.32), np.float64(168.57), np.float64(994.69), np.float64(348.56)]"
5320,"[np.float64(590.65), np.float64(171.24), np.float64(655.25), np.float64(232.29)]"
5320,"[np.float64(911.04), np.float64(172.92), np.float64(1203.37), np.float64(374.0)]"
5320,"[np.float64(222.25), np.float64(174.18), np.float64(337.26), np.float64(230.39)]"
2541,"[np.float64(547.68), np.float64(172.03), np.float64(654.82), np.float64(251.54)]"
2541,"[np.float64(812.52), np.float64(167.82), np.float64(968.85), np.float64(286.31)]"
4160,"[np.float64(739.31), np.float64(179.35), np.float64(1006.22), np.float64(357.08)]"
7339,"[np.float64(291.79), np.float64(185.61), np.float64(440.27), np.float64(269.76)]"
7339,"[np.float64(431.97), np.float64(183.59), np.float64(501.81), np.float64(228.32)]"
2789,"[np.float64(647.32), np.float64(174.84), np.float64(744.11), np.float64(244.47)]"
2789,"[np.float64(888.4), np.float64(169.84), np.float64(1024.75), np.float64(275.06)]"
7102,"[np.float64(593.77), np.float64(173.52), np.float64(649.71), np.float64(226.41)]"
7102,"[np.float64(790.25), np.float64(173.16), np.float64(1024.3), np.float64(297.95)]"
7102,"[np.float64(312.08), np.float64(175.44), np.float64(391.21), np.float64(218.28)]"
3133,"[np.float64(275.07), np.float64(163.0), np.float64(602.04), np.float64(296.6)]"
5385,"[np.float64(142.96), np.float64(197.82), np.float64(419.89), np.float64(364.02)]"
6002,"[np.float64(610.89), np.float64(176.93), np.float64(650.96), np.float64(217.16)]"
6002,"[np.float64(435.81), np.float64(186.4), np.float64(525.55), np.float64(241.96)]"
7400,"[np.float64(0.0), np.float64(187.87), np.float64(239.49), np.float64(289.14)]"
540,"[np.float64(581.73), np.float64(179.51), np.float64(640.18), np.float64(227.03)]"
540,"[np.float64(499.0), np.float64(185.74), np.float64(565.16), np.float64(228.86)]"
6818,"[np.float64(495.08), np.float64(171.58), np.float64(591.04), np.float64(250.35)]"
3553,"[np.float64(186.84), np.float64(191.84), np.float64(273.15), np.float64(233.95)]"
1214,"[np.float64(448.49), np.float64(180.21), np.float64(515.65), np.float64(240.34)]"
1214,"[np.float64(634.39), np.float64(166.38), np.float64(709.04), np.float64(237.07)]"
4510,"[np.float64(517.71), np.float64(161.47), np.float64(739.11), np.float64(371.33)]"
7051,"[np.float64(197.66), np.float64(189.66), np.float64(338.61), np.float64(255.21)]"
7051,"[np.float64(328.09), np.float64(177.21), np.float64(413.83), np.float64(232.3)]"
6571,"[np.float64(518.44), np.float64(164.85), np.float64(740.46), np.float64(374.0)]"
5596,"[np.float64(434.72), np.float64(174.0), np.float64(528.42), np.float64(214.96)]"
4727,"[np.float64(255.36), np.float64(178.9), np.float64(479.5), np.float64(356.53)]"
3034,"[np.float64(136.63), np.float64(197.64), np.float64(441.5), np.float64(370.03)]"
2068,"[np.float64(334.67), np.float64(175.18), np.float64(479.05), np.float64(289.38)]"
2068,"[np.float64(473.24), np.float64(174.98), np.float64(534.21), np.float64(217.15)]"
2398,"[np.float64(854.35), np.float64(181.66), np.float64(1241.0), np.float64(352.21)]"
6911,"[np.float64(200.54), np.float64(188.12), np.float64(336.91), np.float64(234.67)]"
171,"[np.float64(570.81), np.float64(182.88), np.float64(644.9), np.float64(253.6)]"
171,"[np.float64(58.49), np.float64(205.4), np.float64(232.86), np.float64(270.3)]"
5933,"[np.float64(504.62), np.float64(180.05), np.float64(589.97), np.float64(240.15)]"
5294,"[np.float64(568.95), np.float64(186.16), np.float64(647.38), np.float64(261.83)]"
1793,"[np.float64(475.76), np.float64(183.59), np.float64(549.41), np.float64(232.12)]"
3440,"[np.float64(589.95), np.float64(171.13), np.float64(657.0), np.float64(234.5)]"
3440,"[np.float64(194.01), np.float64(173.33), np.float64(321.23), np.float64(233.52)]"
3303,"[np.float64(125.17), np.float64(187.93), np.float64(424.09), np.float64(365.94)]"
3303,"[np.float64(508.42), np.float64(168.89), np.float64(586.08), np.float64(239.7)]"
7103,"[np.float64(49.4), np.float64(191.11), np.float64(205.75), np.float64(257.06)]"
2179,"[np.float64(654.86), np.float64(183.49), np.float64(734.93), np.float64(240.49)]"
6040,"[np.float64(724.03), np.float64(171.48), np.float64(796.27), np.float64(237.24)]"
6040,"[np.float64(113.53), np.float64(173.48), np.float64(413.73), np.float64(347.6)]"
3848,"[np.float64(571.72), np.float64(179.97), np.float64(632.67), np.float64(237.99)]"
3848,"[np.float64(682.57), np.float64(176.79), np.float64(752.37), np.float64(235.27)]"
3603,"[np.float64(705.75), np.float64(181.66), np.float64(812.83), np.float64(260.63)]"
5357,"[np.float64(727.82), np.float64(179.82), np.float64(844.89), np.float64(262.87)]"
5060,"[np.float64(595.71), np.float64(174.29), np.float64(655.61), np.float64(232.18)]"
5060,"[np.float64(1120.17), np.float64(149.27), np.float64(1241.0), np.float64(206.67)]"
2572,"[np.float64(569.13), np.float64(175.76), np.float64(623.27), np.float64(225.12)]"
2218,"[np.float64(204.81), np.float64(186.71), np.float64(422.19), np.float64(337.84)]"
513,"[np.float64(568.87), np.float64(174.25), np.float64(772.15), np.float64(366.01)]"
513,"[np.float64(41.53), np.float64(193.83), np.float64(230.53), np.float64(267.98)]"
2488,"[np.float64(875.06), np.float64(139.25), np.float64(1159.02), np.float64(317.88)]"
2793,"[np.float64(635.65), np.float64(187.26), np.float64(709.87), np.float64(237.95)]"
9,"[np.float64(601.96), np.float64(177.01), np.float64(659.15), np.float64(229.51)]"
6856,"[np.float64(571.04), np.float64(173.66), np.float64(617.18), np.float64(215.73)]"
6856,"[np.float64(441.05), np.float64(170.94), np.float64(509.54), np.float64(222.79)]"
2129,"[np.float64(747.91), np.float64(156.59), np.float64(989.14), np.float64(241.73)]"
2129,"[np.float64(427.28), np.float64(181.64), np.float64(491.89), np.float64(231.05)]"
5137,"[np.float64(314.14), np.float64(194.27), np.float64(480.23), np.float64(310.3)]"
2543,"[np.float64(802.75), np.float64(173.59), np.float64(894.2), np.float64(231.92)]"
3640,"[np.float64(347.76), np.float64(198.93), np.float64(477.55), np.float64(299.82)]"
5395,"[np.float64(203.35), np.float64(191.44), np.float64(421.43), np.float64(314.33)]"
5395,"[np.float64(451.78), np.float64(181.05), np.float64(510.15), np.float64(225.23)]"
6647,"[np.float64(436.32), np.float64(170.11), np.float64(535.5), np.float64(236.32)]"
4910,"[np.float64(123.72), np.float64(181.55), np.float64(392.84), np.float64(293.69)]"
249,"[np.float64(102.42), np.float64(183.7), np.float64(425.73), np.float64(375.0)]"
37,"[np.float64(555.85), np.float64(173.64), np.float64(628.69), np.float64(240.05)]"
129,"[np.float64(53.08), np.float64(185.99), np.float64(265.42), np.float64(288.46)]"
129,"[np.float64(301.7), np.float64(185.67), np.float64(399.78), np.float64(235.31)]"
471,"[np.float64(194.88), np.float64(194.11), np.float64(296.73), np.float64(249.49)]"
1691,"[np.float64(775.56), np.float64(182.64), np.float64(1040.16), np.float64(349.6)]"
1691,"[np.float64(548.44), np.float64(183.54), np.float64(614.62), np.float64(229.98)]"
6530,"[np.float64(762.14), np.float64(163.97), np.float64(1089.71), np.float64(361.09)]"
6530,"[np.float64(605.85), np.float64(163.01), np.float64(681.73), np.float64(212.55)]"
3625,"[np.float64(807.31), np.float64(178.41), np.float64(1189.63), np.float64(369.0)]"
3625,"[np.float64(92.98), np.float64(169.22), np.float64(250.15), np.float64(241.78)]"
3625,"[np.float64(697.82), np.float64(174.13), np.float64(761.79), np.float64(235.03)]"
5159,"[np.float64(249.15), np.float64(183.94), np.float64(450.34), np.float64(315.69)]"
5159,"[np.float64(116.84), np.float64(175.65), np.float64(204.41), np.float64(220.26)]"
929,"[np.float64(611.39), np.float64(174.25), np.float64(665.48), np.float64(226.45)]"
1424,"[np.float64(165.42), np.float64(186.36), np.float64(263.29), np.float64(232.83)]"
2361,"[np.float64(782.22), np.float64(192.06), np.float64(1093.38), np.float64(373.49)]"
2361,"[np.float64(426.71), np.float64(190.75), np.float64(635.79), np.float64(273.73)]"
3893,"[np.float64(409.0), np.float64(198.93), np.float64(520.71), np.float64(281.38)]"
761,"[np.float64(837.13), np.float64(155.65), np.float64(1018.53), np.float64(285.46)]"
2018,"[np.float64(518.06), np.float64(163.07), np.float64(739.75), np.float64(373.2)]"
2018,"[np.float64(1019.44), np.float64(172.62), np.float64(1237.85), np.float64(236.86)]"
3879,"[np.float64(694.55), np.float64(179.14), np.float64(814.64), np.float64(268.57)]"
1180,"[np.float64(659.12), np.float64(175.39), np.float64(726.71), np.float64(224.9)]"
1269,"[np.float64(112.68), np.float64(186.67), np.float64(310.31), np.float64(282.87)]"
